               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.038347,            0.048957,           0.0054513,             0.84825,             0.82819,              0.8296,             0.47591,             0.03528,            0.042363,            0.007483,            0.003021,            0.003021,            0.003021
                  50,            0.037704,             0.04255,           0.0052486,             0.80064,             0.82308,             0.80795,             0.45959,            0.035717,            0.042359,           0.0076023,            0.002855,            0.002855,            0.002855
                  51,            0.038499,            0.042285,           0.0065965,             0.78288,             0.83407,             0.81123,             0.48431,            0.034763,            0.041951,           0.0073118,           0.0026943,           0.0026943,           0.0026943
                  52,             0.03572,            0.043205,           0.0046624,             0.77091,             0.83902,             0.81162,             0.47332,              0.0344,            0.041711,           0.0072522,           0.0025393,           0.0025393,           0.0025393
                  53,            0.035975,            0.045181,           0.0048878,             0.87412,             0.81073,             0.83552,              0.5148,            0.034872,            0.040735,           0.0076574,           0.0023902,           0.0023902,           0.0023902
                  54,            0.035834,            0.044462,            0.004558,             0.86867,             0.81318,             0.85747,             0.48367,            0.034164,            0.040973,           0.0076759,           0.0022474,           0.0022474,           0.0022474
                  55,            0.038119,            0.058007,           0.0049046,             0.86894,             0.81543,             0.85734,              0.4936,            0.035799,            0.042071,           0.0074673,           0.0021112,           0.0021112,           0.0021112
                  56,            0.039605,            0.046228,           0.0043665,             0.87071,             0.84257,             0.83663,             0.48015,            0.035443,            0.042904,           0.0072263,           0.0019818,           0.0019818,           0.0019818
                  57,            0.036631,            0.043578,           0.0047552,             0.86992,              0.8298,             0.83335,             0.46826,            0.035152,            0.043462,           0.0075816,           0.0018594,           0.0018594,           0.0018594
                  58,            0.035627,             0.04421,           0.0052171,             0.84262,             0.72834,             0.79813,             0.46189,            0.034383,             0.04249,           0.0079418,           0.0017444,           0.0017444,           0.0017444
                  59,            0.035117,            0.043324,           0.0049653,             0.74889,             0.83956,             0.80579,             0.48228,            0.034101,            0.041802,           0.0081148,            0.001637,            0.001637,            0.001637
